slonecznie,tak,niska,srednia,tak
snieg,tak,wysoka,niska,nie
slonecznie,tak,srednia,niska,tak
deszcz,nie,srednia,srednia,nie
snieg,tak,wysoka,srednia,nie
zachmurzenie,tak,wysoka,srednia,tak
zachmurzenie,tak,wysoka,srednia,tak
deszcz,tak,wysoka,srednia,nie
zachmurzenie,nie,niska,niska,tak
deszcz,nie,niska,wysoka,nie
snieg,tak,niska,niska,nie
zachmurzenie,tak,niska,niska,nie
zachmurzenie,tak,srednia,wysoka,tak
zachmurzenie,tak,srednia,wysoka,tak
snieg,tak,niska,srednia,tak
snieg,tak,wysoka,srednia,tak
deszcz,tak,niska,srednia,nie
deszcz,nie,wysoka,srednia,nie
slonecznie,tak,srednia,niska,tak
zachmurzenie,tak,srednia,srednia,tak
zachmurzenie,nie,wysoka,wysoka,tak
snieg,tak,srednia,srednia,tak
deszcz,tak,wysoka,srednia,nie
snieg,nie,niska,srednia,tak
snieg,nie,srednia,niska,nie
deszcz,nie,wysoka,wysoka,nie
zachmurzenie,nie,niska,niska,tak
snieg,tak,niska,srednia,tak
snieg,tak,wysoka,srednia,tak
deszcz,tak,niska,srednia,nie
snieg,nie,srednia,srednia,tak
deszcz,tak,srednia,wysoka,nie
snieg,nie,niska,niska,nie
zachmurzenie,tak,srednia,wysoka,tak
slonecznie,tak,srednia,wysoka,tak
zachmurzenie,tak,srednia,niska,tak
zachmurzenie,tak,wysoka,srednia,tak
deszcz,tak,srednia,srednia,nie
slonecznie,tak,srednia,wysoka,tak
deszcz,tak,wysoka,niska,nie
snieg,nie,srednia,srednia,tak
zachmurzenie,tak,niska,srednia,tak
deszcz,nie,niska,wysoka,nie
deszcz,nie,niska,srednia,nie
zachmurzenie,nie,wysoka,wysoka,tak
snieg,tak,wysoka,niska,nie
snieg,nie,wysoka,srednia,tak
slonecznie,nie,srednia,srednia,tak
snieg,tak,niska,niska,nie
slonecznie,tak,srednia,wysoka,nie
