deszcz,tak,niska,niska
deszcz,nie,wysoka,niska
snieg,nie,wysoka,srednia
deszcz,nie,srednia,srednia
deszcz,nie,niska,srednia
slonecznie,nie,wysoka,wysoka
deszcz,nie,wysoka,srednia
zachmurzenie,tak,wysoka,niska
deszcz,tak,niska,srednia
slonecznie,nie,wysoka,niska
zachmurzenie,tak,srednia,niska
snieg,tak,srednia,srednia
snieg,nie,niska,srednia
slonecznie,nie,wysoka,srednia
snieg,tak,wysoka,niska
zachmurzenie,nie,niska,niska
zachmurzenie,nie,wysoka,niska
snieg,nie,niska,niska
snieg,tak,wysoka,niska
slonecznie,tak,niska,wysoka
snieg,nie,niska,niska
zachmurzenie,nie,niska,niska
deszcz,nie,srednia,wysoka
deszcz,tak,niska,srednia
zachmurzenie,tak,niska,niska
slonecznie,tak,niska,srednia
zachmurzenie,nie,wysoka,niska
snieg,nie,srednia,niska
slonecznie,nie,wysoka,srednia
deszcz,tak,srednia,wysoka
deszcz,nie,wysoka,srednia
zachmurzenie,tak,niska,srednia
snieg,nie,srednia,srednia
deszcz,nie,srednia,srednia
slonecznie,tak,wysoka,wysoka
slonecznie,nie,niska,srednia
snieg,tak,wysoka,niska
zachmurzenie,tak,srednia,wysoka
deszcz,tak,srednia,niska
zachmurzenie,nie,wysoka,wysoka
slonecznie,tak,niska,wysoka
zachmurzenie,tak,wysoka,niska
zachmurzenie,tak,srednia,niska
snieg,nie,wysoka,srednia
deszcz,tak,srednia,srednia
deszcz,nie,wysoka,niska
snieg,nie,wysoka,niska
zachmurzenie,tak,wysoka,niska
slonecznie,nie,niska,wysoka
zachmurzenie,tak,niska,wysoka
